id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
899,Thompson,tube,13.79,4259,0.0406,4.7,4.7,318,4.0
245,Thompson,tube,6.89,5778,-0.0251,10.3,10.3,762,5.0
711,Thompson,tube,12.07,3811,-0.0039,1.9,1.9,152,4.1
1191,Thompson,tube,18.27,2753,-0.0601,3.0,3.0,150,1.7
721,Thompson,tube,12.07,4001,-0.0442,1.9,1.9,696,3.6
417,Thompson,tube,6.89,3811,0.0129,12.8,12.8,1930,3.2
803,Thompson,tube,13.79,4136,0.0684,4.6,4.6,295,3.0
1468,Beus,annulus,15.51,3690,-0.0943,5.6,15.2,2134,2.7
600,Thompson,tube,10.34,3960,-0.1088,10.3,10.3,762,5.7
1736,Janssen,annulus,6.94,2807,0.0625,6.4,15.9,914,3.2
644,Thompson,tube,10.34,7893,-0.1713,10.3,10.3,762,9.2
1387,Weatherhead,tube,13.79,350,-0.0744,11.1,11.1,457,2.8
1357,Weatherhead,tube,13.79,1370,-0.0665,11.1,11.1,457,2.5
251,Thompson,tube,6.89,6049,-0.0591,10.3,10.3,762,6.5
1740,Janssen,annulus,6.89,2794,-0.0007,6.4,15.9,914,4.0
1218,Thompson,tube,18.96,2862,-0.3155,1.9,1.9,696,2.8
1636,Janssen,annulus,5.51,1478,0.0196,12.7,42.3,1778,4.3
463,Thompson,tube,6.89,7405,-0.1178,23.6,23.6,610,8.0
382,Thompson,tube,6.89,4069,0.1758,11.5,11.5,2007,2.2
1252,Weatherhead,tube,13.79,1994,-0.2387,7.7,7.7,457,5.1
1091,Thompson,tube,13.79,1899,0.1008,7.8,7.8,591,2.0
1728,Janssen,annulus,6.89,2319,-0.0456,12.7,38.1,914,4.8
846,Thompson,tube,13.79,746,0.0782,4.7,4.7,318,1.2
1263,Weatherhead,tube,13.79,1655,-0.1689,7.7,7.7,457,4.5
612,Thompson,tube,10.34,4842,-0.1218,10.3,10.3,762,6.7
1084,Thompson,tube,13.79,1709,-0.0309,7.8,7.8,591,2.5
821,Thompson,tube,13.79,1533,0.1692,4.7,4.7,305,2.0
744,Thompson,tube,13.79,3119,-0.05,1.9,1.9,152,5.5
1317,Weatherhead,tube,13.79,658,0.1802,7.7,7.7,457,2.3
1365,Weatherhead,tube,13.79,686,-0.0446,11.1,11.1,457,2.9
183,Thompson,tube,7.34,2061,0.2006,5.6,5.6,432,4.6
171,Thompson,tube,6.89,6279,0.0465,4.7,4.7,318,5.8
293,Thompson,tube,6.89,6795,-0.062,10.3,10.3,794,6.9
480,Thompson,tube,6.89,2712,0.1152,23.6,23.6,1972,2.0
515,Thompson,tube,6.89,1370,0.0211,37.5,37.5,1953,3.3
301,Thompson,tube,6.89,7690,-0.0569,10.3,10.3,794,8.0
1757,Janssen,annulus,6.92,5520,-0.0251,12.7,38.1,914,4.3
1488,Beus,annulus,13.79,1354,0.0568,5.6,15.2,2134,1.8
1546,Janssen,annulus,6.85,2265,0.08,8.5,22.3,2743,3.6
1720,Janssen,annulus,6.89,2767,-0.0512,12.7,38.1,914,4.5
1799,Mortimore,annulus,13.79,677,0.0692,5.0,13.3,2134,1.3
1512,Beus,annulus,8.27,2730,0.0539,5.6,15.2,2134,2.6
1074,Thompson,tube,13.79,1410,-0.001,7.8,7.8,591,2.6
1554,Janssen,annulus,6.89,1519,0.1932,8.5,22.3,1829,2.2
372,Thompson,tube,6.89,4056,0.1835,10.8,10.8,3048,2.1
1243,Weatherhead,tube,13.79,2007,-0.2252,7.7,7.7,457,5.1
825,Thompson,tube,13.79,2740,-0.1534,4.7,4.7,305,5.2
1343,Weatherhead,tube,13.79,1344,-0.3176,11.1,11.1,457,3.9
1650,Janssen,annulus,9.51,2292,-0.025,12.7,42.3,1778,3.9
608,Thompson,tube,10.34,4828,-0.1209,10.3,10.3,762,6.7
176,Thompson,tube,6.96,2061,0.0716,5.6,5.6,216,6.4
947,Thompson,tube,13.79,5249,-0.0616,5.7,5.7,625,5.0
737,Thompson,tube,13.79,2428,-0.0412,1.9,1.9,152,4.6
589,Thompson,tube,10.34,3716,-0.0207,10.3,10.3,762,3.9
681,Thompson,tube,11.0,1356,0.1742,11.5,11.5,1524,2.3
335,Thompson,tube,6.86,4096,-0.044,10.8,10.8,432,5.2
809,Thompson,tube,13.79,4855,0.014,4.6,4.6,295,3.6
1352,Weatherhead,tube,13.79,1344,-0.3121,11.1,11.1,457,4.1
1787,Janssen,annulus,6.85,3038,0.0254,8.5,24.6,1778,3.9
1790,Janssen,annulus,6.89,3038,0.0175,8.5,24.6,1778,4.3
1563,Janssen,annulus,6.91,2346,0.1162,8.5,22.3,1829,2.5
1613,Janssen,annulus,6.89,2292,0.0448,12.7,42.3,1778,3.9
530,Thompson,tube,6.89,2726,-0.0765,37.5,37.5,1953,3.6
199,Thompson,tube,6.89,4069,0.0518,5.6,5.6,432,5.7
16,Peskov,tube,14.0,3056,0.0323,10.0,10.0,890,2.0
266,Thompson,tube,6.89,7961,-0.0825,10.3,10.3,762,7.6
597,Thompson,tube,10.34,3947,-0.0721,10.3,10.3,762,4.8
965,Thompson,tube,13.79,705,0.0818,7.7,7.7,457,2.3
1573,Janssen,annulus,6.89,1519,0.1271,12.7,42.3,2743,2.6
1302,Weatherhead,tube,13.79,913,0.1679,7.7,7.7,457,1.7
1524,Janssen,annulus,6.79,1132,0.1894,8.5,22.3,2591,1.8
1631,Janssen,annulus,5.54,1519,0.1055,12.7,42.3,1778,3.2
1164,Thompson,tube,17.24,2848,-0.1761,1.9,1.9,152,6.1
800,Thompson,tube,13.79,4069,0.0863,4.6,4.6,295,2.7
1121,Thompson,tube,13.79,1763,0.1968,10.5,10.5,1829,1.0
483,Thompson,tube,6.89,2712,-0.0449,23.6,23.6,1972,3.4
200,Thompson,tube,6.89,4069,0.0518,5.6,5.6,432,5.7
932,Thompson,tube,13.79,7364,-0.4477,4.7,4.7,318,14.8
1129,Thompson,tube,15.51,2319,-0.0601,1.9,1.9,152,3.8
1823,Kossolapov,plate,0.1,1277,-0.0929,15.0,120.0,10,9.3
1059,Thompson,tube,13.79,1035,0.072,7.8,7.8,591,2.3
705,Thompson,tube,12.07,3201,-0.0404,1.9,1.9,152,5.2
1605,Janssen,annulus,6.9,1519,0.0036,12.7,42.3,1778,4.6
1212,Thompson,tube,18.96,3499,-0.2057,1.9,1.9,152,4.5
746,Thompson,tube,13.79,3146,-0.0238,1.9,1.9,152,4.2
1704,Janssen,annulus,6.89,2306,0.1011,4.6,11.3,1778,1.9
1572,Janssen,annulus,6.87,1519,0.1481,12.7,42.3,2743,2.2
1710,Janssen,annulus,6.89,5913,0.0211,12.7,38.1,737,3.5
1404,Williams,tube,13.79,2704,-0.0154,9.5,9.5,1836,3.2
311,Thompson,tube,7.14,1858,0.0005,10.8,10.8,216,4.7
57,Thompson,tube,3.76,2875,0.0281,4.6,4.6,229,8.8
818,Thompson,tube,13.79,1424,0.1125,4.7,4.7,305,2.5
1449,Beus,annulus,13.79,2729,0.0908,5.6,15.2,2134,1.9
1206,Thompson,tube,18.96,2726,-0.091,1.9,1.9,152,3.8
638,Thompson,tube,10.34,7731,-0.1223,10.3,10.3,762,7.7
1593,Janssen,annulus,6.82,1166,0.1743,12.7,42.3,2743,2.1
44,Thompson,tube,0.1,1967,0.1405,1.7,1.7,64,8.3
101,Thompson,tube,3.45,5940,0.0209,10.3,10.3,762,4.6
275,Thompson,tube,6.89,4611,-0.0029,10.3,10.3,794,4.4
1304,Weatherhead,tube,13.79,956,-0.2253,7.7,7.7,457,3.6
354,Thompson,tube,6.96,4096,-0.0415,10.8,10.8,864,5.4
102,Thompson,tube,3.45,5954,0.0206,10.3,10.3,762,4.6
1028,Thompson,tube,13.79,2007,-0.0668,7.7,7.7,457,3.6
1805,Mortimore,annulus,13.79,3637,-0.0345,5.0,13.3,2134,2.2
108,Thompson,tube,3.45,7893,-0.0071,10.3,10.3,762,4.8
1765,Janssen,annulus,6.89,549,0.1723,12.7,38.1,737,2.7
1846,Richenderfer,plate,0.2,2000,-0.0193,15.0,120.0,10,6.1
807,Thompson,tube,13.79,4367,0.018,4.6,4.6,295,3.7
1006,Thompson,tube,13.79,1614,0.134,7.7,7.7,457,1.6
783,Thompson,tube,13.79,3445,0.0669,4.6,4.6,295,2.1
1518,Janssen,annulus,6.85,1614,0.129,8.5,22.3,2591,2.6
778,Thompson,tube,13.79,3404,0.0748,4.6,4.6,295,1.7
